Season,Episode,Viewers (millions),Ratings,viewer_detrend (Y/T=SI)
1,1,2.22,9,1.16
1,2,2.2,8.8,1.14
1,3,2.44,8.7,1.26
1,4,2.45,8.8,1.26
1,5,2.58,9.1,1.31
1,6,2.44,9.2,1.24
1,7,2.4,9.3,1.21
1,8,2.72,9.1,1.36
1,9,2.66,9.6,1.32
1,10,3.04,9.5,1.59
2,1,3.86,8.9,1.90
2,2,3.76,8.6,1.84
2,3,3.77,8.9,1.83
2,4,3.65,8.9,1.76
2,5,3.9,8.9,1.87
2,6,3.88,9.1,1.85
2,7,3.69,9,1.75
2,8,3.86,8.9,1.82
2,9,3.38,9.7,1.59
2,10,4.2,9.4,2.06
3,1,4.37,8.9,2.03
3,2,4.27,8.6,1.97
3,3,4.72,8.9,2.17
3,4,4.87,9.6,2.23
3,5,5.35,9,2.43
3,6,5.5,8.9,2.49
3,7,4.84,8.8,2.18
3,8,5.13,9,2.30
3,9,5.22,9.9,2.32
3,10,5.39,9.2,2.50
4,1,6.64,9.1,2.92
4,2,6.31,9.7,2.76
4,3,6.59,8.9,2.87
4,4,6.95,8.9,3.01
4,5,7.16,8.8,3.09
4,6,6.4,9.7,2.75
4,7,7.2,9.2,3.07
4,8,7.17,9.7,3.05
4,9,6.95,9.6,2.94
4,10,7.09,9.7,3.12
5,1,8,8.6,3.35
5,2,6.81,8.6,2.84
5,3,6.71,8.6,2.78
5,4,6.82,8.8,2.81
5,5,6.56,8.7,2.69
5,6,6.24,8.1,2.55
5,7,5.4,9.1,2.20
5,8,7.01,9.9,2.84
5,9,7.14,9.5,2.87
5,10,8.11,9,3.39
6,1,7.94,8.6,3.17
6,2,7.29,9.5,2.89
6,3,7.28,8.8,2.88
6,4,7.82,9.2,3.08
6,5,7.89,9.7,3.09
6,6,6.71,8.5,2.61
6,7,7.8,8.6,3.03
6,8,7.6,8.4,2.93
6,9,7.66,9.9,2.94
6,10,8.89,9.9,3.55
7,1,10.11,8.7,3.85
7,2,9.27,9,3.52
7,3,9.25,9.3,3.49
7,4,10.17,9.8,3.82
7,5,10.72,9,4.01
7,6,10.24,9.2,3.81
7,7,12.07,9.6,4.48
